# expected_volume_mL=112.37,sensor_cal_factor=0.00052587,source_duration_s=25.00
time_s,mass_g,filt_mass_g,filt_inflow_g_s,kz_flow_g_s,cum_volume_g,cum_volume_mL,zone,is_roi
0.0,-0.030693279000001183,-0.02850866750092922,-0.001981110900999914,0.46494704326888514,-9.016831565799785e-05,-9.033091129833486e-05,empty,0
0.03699612617492676,-0.008080869000004043,-0.029499461181909815,-0.0028933624550298463,0.46611080734271965,-9.387089173258307e-05,-9.404016402783317e-05,empty,0
0.03821992874145508,0.050290700999997995,-0.03054723761274893,-0.003157574478512753,0.4672959180216107,-0.0001945134139002576,-0.00019486416940518695,empty,0
0.07514286041259766,-0.004925649000004029,-0.03158772771722969,-0.002293916917894023,0.4685008923719366,-0.00023500879058782587,-0.0002354325692124082,empty,0
0.11205697059631348,-0.10747029900000271,-0.032557186345517644,9.988452832650911e-05,0.4697246853184113,-0.00023159745262929895,-0.00023201507977289016,empty,0
0.11360311508178711,0.04135091099999855,-0.03339433878269544,0.004312818153185066,0.47096667610914233,3.330748353091572e-05,3.336754511211753e-05,empty,0
0.14939188957214355,-0.11167725900000391,-0.034044802474086214,0.010490982196647828,0.4722266409309758,0.0005720531570919418,0.0005730847095691663,empty,0
0.18640899658203125,-0.08275440900000319,-0.034465411507738034,0.01861694746501487,0.4735047129332761,0.0014714089098222414,0.0014740622218215203,empty,0
0.22458386421203613,0.029255900999999085,-0.03462572432637982,0.02850074061432345,0.474801331510323,0.0015144626145044255,0.0015171935629176773,empty,0
0.2258448600769043,-0.09327180900000087,-0.03450510218349052,0.03978450263139518,0.4761171831472107,0.003170446244738799,0.0031761633387485467,empty,0
0.261944055557251,-0.09064245900000145,-0.03408552556547858,0.051961787456201544,0.4774531364339498,0.005375416888859166,0.005385110087015795,empty,0
0.2998390197753906,0.06343745099999865,-0.033342149776340674,0.06441096494581215,0.4788101739935685,0.005459421295327471,0.005469265974080816,empty,0
0.30103182792663574,0.01663502099999903,-0.03223515898172505,0.07644053138344409,0.4801893240619444,0.008416851942287657,0.008432029595559665,empty,0
